"Relative","Count","SrcBytes"
"BLDA\CharFace\CH0301","23","659228"
"BLDA\CharFace\CH0302","30","1029700"
"BLDA\CharFace\CH0303","18","375140"
"BLDA\CharFace\CH0304","55","1466738"
"BLDA\CharFace\CH0305","33","1196730"
"BLDA\CharFace\CH0306","27","744014"
"BLDA\CharFace\CH0307","19","484396"
"BLDA\CharFace\CH0308","12","334868"
"BLDA\CharFace\CH0309","31","904992"
"BLDA\CharFace\CH0310","18","394026"
"BLDA\CharFace\CH0311","18","337994"
"BLDA\CharFace\CH0312","17","434542"
"BLDA\CharFace\CH0313","15","457304"
"BLDA\CharFace\CH0314","20","607546"
"BLDA\CharFace\CH0316","21","605444"
"BLDA\CharFace\CH0317","41","1182848"
"BLDA\CharFace\CH0318","38","1043970"
"BLDA\CharFace\CH0319","34","1102976"
